----- TEST LIDAR ACQUISITION -----
Points reçus : 127
ANGLE - DISTANCE
351 - 3902
353 - 3808
354 - 3716
355 - 3628
357 - 3557
358 - 3498
360 - 3440
 1 - 3382
 2 - 3332
 4 - 3289
 5 - 3225
 7 - 3161
 8 - 3118
 9 - 3070
11 - 3013
12 - 2971
13 - 2949
15 - 2924
16 - 2901
18 - 2878
19 - 2854
20 - 2829
22 - 2813
23 - 2798
24 - 2776
26 - 2757
27 - 2744
29 - 2734
30 - 2730
31 - 2724
33 - 2716
34 - 2712
36 - 2716
37 - 2720
38 - 2714
43 - 1548
47 - 1532
55 - 2850
56 - 2871
58 - 2896
59 - 2921
60 - 2914
62 - 2919
76 - 2035
77 - 1987
79 - 1938
83 - 1770
84 - 1731
86 - 1696
87 - 1667
88 - 1636
90 - 1602
91 - 1572
93 - 1544
94 - 1521
95 - 1504
98 - 1197
100 - 1200
101 - 1188
103 - 1167
104 - 1159
105 - 1167
107 - 1189
108 - 1190
110 - 1188
112 - 1229
114 - 1231
116 - 1304
118 - 1298
119 - 1293
120 - 1288
122 - 1285
123 - 1284
125 - 1283
126 - 1280
127 - 1280
129 - 1280
130 - 1283
132 - 1284
133 - 1286
134 - 1292
147 - 1361
148 - 1375
149 - 1394
151 - 1410
152 - 1424
153 - 1441
155 - 1458
156 - 1474
158 - 1492
159 - 1512
160 - 1535
162 - 1558
163 - 1583
164 - 1610
166 - 1639
167 - 1646
169 - 1617
170 - 1578
171 - 1567
173 - 1594
174 - 1634
176 - 1673
181 - 2172
200 - 1998
202 - 1987
203 - 1981
204 - 1972
206 - 1974
207 - 1983
209 - 1994
210 - 2011
211 - 2047
217 - 2146
218 - 2156
221 - 2071
301 - 3922
305 - 3367
307 - 3327
308 - 3338
324 - 6069
327 - 5437
329 - 5370
331 - 6347
347 - 4184
348 - 4089
350 - 4001
----- TEST SUCCESS -----

----- TEST LIDAR ACQUISITION -----
Points reçus : 129
ANGLE - DISTANCE
352 - 3873
353 - 3770
354 - 3683
356 - 3605
357 - 3536
359 - 3470
 0 - 3414
 1 - 3368
 3 - 3318
 4 - 3245
 6 - 3179
 7 - 3140
 8 - 3100
10 - 3037
11 - 2983
12 - 2962
14 - 2936
15 - 2912
17 - 2890
18 - 2868
19 - 2847
21 - 2822
22 - 2800
24 - 2787
25 - 2778
26 - 2772
28 - 2754
29 - 2736
30 - 2731
32 - 2725
33 - 2719
35 - 2717
36 - 2714
37 - 2711
40 - 1660
43 - 1548
55 - 2852
57 - 2872
58 - 2899
59 - 2926
61 - 2964
62 - 2953
76 - 2027
77 - 1976
79 - 1926
82 - 1800
83 - 1764
84 - 1734
86 - 1702
87 - 1665
89 - 1632
90 - 1598
91 - 1565
93 - 1540
94 - 1518
96 - 1499
97 - 1479
98 - 1462
100 - 1446
104 - 1185
105 - 1192
107 - 1215
108 - 1247
111 - 1216
112 - 1222
116 - 1303
118 - 1298
119 - 1292
120 - 1287
122 - 1284
123 - 1283
125 - 1282
126 - 1281
127 - 1282
129 - 1282
130 - 1283
132 - 1286
133 - 1288
134 - 1292
147 - 1361
148 - 1375
149 - 1394
151 - 1410
152 - 1422
153 - 1439
155 - 1457
156 - 1474
158 - 1492
159 - 1512
160 - 1535
162 - 1558
163 - 1582
164 - 1610
166 - 1637
167 - 1645
169 - 1617
170 - 1580
171 - 1569
173 - 1594
174 - 1632
175 - 1671
181 - 2171
182 - 2233
200 - 2004
202 - 1989
203 - 1977
204 - 1970
206 - 1972
207 - 1979
208 - 1991
210 - 2008
211 - 2031
217 - 2136
218 - 2169
221 - 2074
222 - 2086
298 - 4519
301 - 3930
302 - 3924
306 - 3339
308 - 3323
324 - 6063
327 - 5496
328 - 5370
331 - 6354
346 - 4225
348 - 4129
349 - 4038
350 - 3950
----- TEST SUCCESS -----

----- TEST LIDAR ACQUISITION -----
Points reçus : 128
ANGLE - DISTANCE
351 - 3940
352 - 3848
354 - 3747
355 - 3658
356 - 3581
358 - 3517
359 - 3455
 0 - 3396
 2 - 3345
 3 - 3297
 5 - 3232
 6 - 3168
 7 - 3126
 9 - 3082
10 - 3032
12 - 2989
13 - 2956
14 - 2931
16 - 2907
17 - 2878
19 - 2854
20 - 2836
21 - 2813
23 - 2792
24 - 2780
25 - 2766
27 - 2753
28 - 2743
30 - 2736
31 - 2729
32 - 2722
34 - 2717
35 - 2712
37 - 2708
38 - 2708
42 - 1543
54 - 2850
56 - 2868
57 - 2890
59 - 2916
60 - 2944
63 - 2833
75 - 2054
77 - 2000
78 - 1952
80 - 1898
82 - 1778
84 - 1743
85 - 1709
87 - 1674
88 - 1643
89 - 1609
91 - 1576
92 - 1548
94 - 1526
95 - 1508
96 - 1488
98 - 1467
104 - 1150
105 - 1164
109 - 1231
110 - 1226
117 - 1300
119 - 1294
120 - 1289
122 - 1286
123 - 1284
124 - 1284
126 - 1282
127 - 1280
128 - 1281
130 - 1282
131 - 1283
133 - 1286
134 - 1289
145 - 1352
146 - 1362
148 - 1371
149 - 1388
151 - 1406
152 - 1421
153 - 1437
155 - 1452
156 - 1471
157 - 1490
159 - 1509
160 - 1531
161 - 1553
163 - 1577
164 - 1603
166 - 1633
167 - 1647
168 - 1623
170 - 1584
171 - 1575
173 - 1598
174 - 1630
175 - 1668
181 - 2163
186 - 2492
200 - 1993
201 - 1978
203 - 1977
204 - 1970
206 - 1973
207 - 1980
208 - 1992
210 - 2009
211 - 2032
215 - 2075
217 - 2137
218 - 2170
221 - 2072
222 - 2085
298 - 4543
301 - 3921
302 - 3926
305 - 3402
306 - 3348
308 - 3346
324 - 6073
327 - 5405
329 - 5325
331 - 6369
345 - 4310
347 - 4194
348 - 4091
349 - 4010
----- TEST SUCCESS -----

----- TEST LIDAR ACQUISITION -----
Points reçus : 130
ANGLE - DISTANCE
352 - 3872
353 - 3766
355 - 3678
356 - 3604
357 - 3534
359 - 3468
 0 - 3414
 1 - 3366
 3 - 3315
 4 - 3246
 6 - 3178
 7 - 3132
 8 - 3093
10 - 3050
11 - 2999
13 - 2963
14 - 2944
15 - 2920
17 - 2887
18 - 2868
19 - 2850
21 - 2823
22 - 2798
24 - 2784
25 - 2773
26 - 2760
28 - 2748
29 - 2738
31 - 2737
32 - 2729
33 - 2723
35 - 2717
36 - 2706
37 - 2710
41 - 1504
42 - 1517
55 - 2859
57 - 2878
58 - 2902
60 - 2932
61 - 2963
62 - 2943
76 - 2017
78 - 1970
79 - 1918
82 - 1794
83 - 1758
85 - 1727
86 - 1693
88 - 1654
89 - 1623
90 - 1592
92 - 1562
93 - 1536
95 - 1515
96 - 1496
97 - 1474
99 - 1457
100 - 1442
106 - 1156
107 - 1162
110 - 1237
111 - 1225
113 - 1234
115 - 1308
117 - 1302
118 - 1296
120 - 1291
121 - 1287
122 - 1284
124 - 1281
125 - 1281
126 - 1280
128 - 1280
